Date,Barcode,FlyHeight,Axial_Play,Oil_Top,Oil_Bottom,Max_force
01/11/2021,A2GPV100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.9,14,8.09,8.11,386
01/11/2021,A2GQC100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.81,13.6,8.1,8.11,595
01/11/2021,A2GQK100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.95,14,8.1,8.14,640
01/11/2021,A2GQQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.97,13.7,8.2,8.15,401
01/11/2021,A2GQS100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.62,13.9,8.22,8.14,524
01/11/2021,A2GRP100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.48,14,8.1,8.14,419
01/11/2021,A2GRT100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.09,13.7,8.09,8.16,764
01/11/2021,A2GS0100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.42,14,8.15,8.15,381
01/11/2021,A2GWM100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.61,13.2,8.11,8.16,469
01/11/2021,A2GZW100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.28,13.8,8.11,8.11,452
01/11/2021,A2H00100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.47,14.1,8.14,8.12,486
01/11/2021,A2H1A100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.96,13.5,8.16,8.16,369
01/11/2021,A2H1C100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.48,13.8,8.15,8.13,362
01/11/2021,A2H1Q100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.52,13.4,8.13,8.12,325
01/11/2021,A2H1Z100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.03,13.7,8.16,8.13,459
01/11/2021,A2H3B100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.66,12.9,8.16,8.1,362
01/11/2021,A2H5B100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.85,13.3,8.12,8.1,415
01/11/2021,A2GAK100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.52,14,8.1,8.12,467
01/11/2021,A2GBG100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.26,14.1,8.11,8.12,444
01/11/2021,A2GBP100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.2,14,8.15,8.12,682
01/11/2021,A2GCA100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.63,14.2,8.15,8.14,939
01/11/2021,A2GDJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.53,14,8.15,8.13,449
01/11/2021,A2GDT100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.91,13.7,8.16,8.14,825
01/11/2021,A2GE6100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.89,14.3,8.14,8.15,431
01/11/2021,A2GFX100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.22,13.2,8.14,8.15,384
01/11/2021,A2GGW100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.38,13.6,8.19,8.14,452
01/11/2021,A2GHA100860536PCA3182K8A0PMPPP00AP0PP000000       ,7.13,13.7,8.16,8.16,370
01/11/2021,A2GHN100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.65,13.6,8.1,8.13,455
01/11/2021,A2GHV100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.4,13.5,8.1,8.14,514
01/11/2021,A2GJ1100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.18,14.1,8.09,8.15,838
01/11/2021,A2GKJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.5,13.9,8.15,8.11,459
01/11/2021,A2GLS100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.26,14.7,8.13,8.1,627
01/11/2021,A2GMF100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.7,13.8,8.15,8.12,881
01/11/2021,A2GMJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.76,13.8,8.15,8.13,498
01/11/2021,A2GNN100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.43,14.4,8.16,8.12,460
01/11/2021,A2GP2100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.79,14.3,8.15,8.16,464
01/11/2021,A2GQ2100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.93,13.6,8.11,8.11,487
01/11/2021,A2GR7100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.6,13,8.16,8.14,410
01/11/2021,A2GRR100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.42,13.1,8.12,8.15,391
01/11/2021,A2GS2100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.67,14.7,8.1,8.17,348
01/11/2021,A2GTT100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.36,14,8.16,8.14,1000
01/11/2021,A2GWF100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.97,12.9,8.11,8.12,368
01/11/2021,A2GXA100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.47,14,8.1,8.12,390
01/11/2021,A2GYP100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.45,13.1,8.15,8.14,1083
01/11/2021,A2GZ5100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.07,14.2,8.15,8.15,373
01/11/2021,A2GZC100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.87,13.7,8.15,8.15,541
01/11/2021,A2GZL100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.82,14,8.09,8.1,421
01/11/2021,A2H0E100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.14,13.9,8.09,8.1,326
01/11/2021,A2H0J100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.39,13.5,8.09,8.17,755
01/11/2021,A2H21100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.98,13.9,8.1,8.16,419
01/11/2021,A2H23100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.51,13.5,8.1,8.12,387
01/11/2021,A2H2J100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.29,13.7,8.13,8.1,496
01/11/2021,A2H2P100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.39,13.6,8.15,8.09,412
01/11/2021,A2H39100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.43,14.3,8.12,8.1,699
01/11/2021,A2H3W100860536PCA3182K8A0PMPPP00AP0PP000000       ,6,13.6,8.15,8.09,372
01/11/2021,A2H42100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.88,13.2,8.16,8.08,366
01/11/2021,A2H4H100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.92,14.5,8.16,8.09,616
01/11/2021,A2H4M100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.01,13,8.16,8.09,361
01/11/2021,A2H4Z100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.33,13.5,8.16,8.08,408
01/11/2021,A2H5M100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.14,13.3,8.16,8.1,439
01/11/2021,A2H71100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.96,14,8.12,8.09,398
01/11/2021,A2GAW100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.57,13.7,8.15,8.12,422
01/11/2021,A2GB6100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.6,13.6,8.1,8.11,374
01/11/2021,A2GBK100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.29,12.9,8.13,8.15,669
01/11/2021,A2GC6100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.75,13.4,8.16,8.16,356
01/11/2021,A2GCC100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.47,13.1,8.11,8.12,528
01/11/2021,A2GCJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.3,14,8.14,8.15,1086
01/11/2021,A2GD3100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.16,14.1,8.11,8.16,450
01/11/2021,A2GD6100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.01,13.2,8.11,8.15,457
01/11/2021,A2GDP100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.11,13.9,8.09,8.14,653
01/11/2021,A2GED100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.01,13.5,8.09,8.11,406
01/11/2021,A2GEQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.68,14,8.1,8.12,575
01/11/2021,A2GEX100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.4,13.7,8.22,8.15,465
01/11/2021,A2GG0100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.69,14,8.09,8.11,873
01/11/2021,A2GG1100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.25,14,8.13,8.15,436
01/11/2021,A2GHX100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.61,14.4,8.14,8.14,300
01/11/2021,A2GJ8100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.97,13.3,8.14,8.15,369
01/11/2021,A2GJC100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.85,13.6,8.16,8.15,592
01/11/2021,A2GKQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.5,13.7,8.2,8.16,444
01/11/2021,A2GKV100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.34,13.9,8.1,8.12,511
01/11/2021,A2GLF100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.9,13.3,8.11,8.16,385
01/11/2021,A2GLG100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.43,14,8.13,8.12,471
01/11/2021,A2GLY100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.71,13.9,8.16,8.11,506
01/11/2021,A2GM8100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.35,14.2,8.15,8.16,408
01/11/2021,A2GML100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.49,13.7,8.1,8.14,387
01/11/2021,A2GMZ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.17,13.7,8.14,8.15,968
01/11/2021,A2GN1100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.42,13,8.1,8.16,355
01/11/2021,A2GNQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.45,13.6,8.11,8.11,435
01/11/2021,A2GP8100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.24,13.4,8.16,8.15,420
01/11/2021,A2GPY100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.73,14.4,8.17,8.15,474
01/11/2021,A2GQ9100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.24,13.7,8.14,8.11,385
01/11/2021,A2GQV100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.3,14,8.2,8.13,1297
01/11/2021,A2GR3100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.03,13.5,8.16,8.11,551
01/11/2021,A2GRH100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.89,13.5,8.14,8.16,890
01/11/2021,A2GT8100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.47,14.2,8.21,8.12,379
01/11/2021,A2GTF100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.29,14.3,8.16,8.17,347
01/11/2021,A2GVB100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.19,13.4,8.15,8.12,584
01/11/2021,A2GWC100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.89,14.1,8.16,8.1,336
01/11/2021,A2GWL100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.16,14.2,8.1,8.15,585
01/11/2021,A2GX0100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.37,13.7,8.11,8.11,472
01/11/2021,A2GXQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.69,14.2,8.14,8.15,400
01/11/2021,A2GY2100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.4,13.9,8.1,8.13,450
01/11/2021,A2GZ0100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.18,13.8,8.09,8.17,327
01/11/2021,A2GZ7100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.16,14.9,8.14,8.12,324
01/11/2021,A2H01100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.29,13.8,8.12,8.11,366
01/11/2021,A2H7A100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.49,13.8,8.16,8.11,1268
01/11/2021,A2H8C100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.73,14.2,8.17,8.11,1186
01/11/2021,A2H9D100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.93,13.3,8.16,8.14,341
01/11/2021,A2H9V100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.36,13.4,8.13,8.09,314
01/11/2021,A2HAG100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.51,13.3,8.12,8.08,446
01/11/2021,A2HBC100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.49,13.4,8.16,8.11,370
01/11/2021,A2HBW100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.81,13.6,8.15,8.1,1009
01/11/2021,A2HCL100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.49,13.4,8.13,8.1,332
01/11/2021,A2HCL100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.6,13.4,8.13,8.1,332
01/11/2021,A2HCZ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.24,13.1,8.12,8.11,438
01/11/2021,A2HD5100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.96,13,8.16,8.08,422
01/11/2021,A2HD7100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.16,13.2,8.17,8.08,326
01/11/2021,A2HDC100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.29,13.8,8.16,8.15,570
01/11/2021,A2HDN100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.36,13.7,8.12,8.08,557
01/11/2021,A2HDQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.86,13,8.12,8.11,382
01/11/2021,A2HEP100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.43,13.5,8.16,8.15,483
01/11/2021,A2HFL100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.25,13.1,8.14,8.14,507
01/11/2021,A2HFY100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.5,13.6,8.12,8.08,764
01/11/2021,A2HGC100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.28,13.9,8.11,8.18,444
01/11/2021,A2HGQ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.05,14.3,8.15,8.19,694
01/11/2021,A2HH7100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.73,14.3,8.16,8.17,375
01/11/2021,A2HJB100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.54,13.4,8.12,8.15,392
01/11/2021,A2HJS100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.71,13.9,8.11,8.17,356
01/11/2021,A2HJV100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.51,13.9,8.16,8.11,721
01/11/2021,A2HK8100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.66,14,8.15,8.15,485
01/11/2021,A2HKS100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.54,14.7,8.11,8.14,579
01/11/2021,A2HL3100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.76,13.7,8.15,8.16,380
01/11/2021,A2HLK100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.93,14.6,8.13,8.12,701
01/11/2021,A2HM7100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.36,13.5,8.14,8.09,446
01/11/2021,A2HNJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.95,14.6,8.15,8.12,473
01/11/2021,A2HP9100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.15,14.1,8.13,8.13,761
01/11/2021,A2HPF100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.07,13.6,8.12,8.08,428
01/11/2021,A2HPM100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.52,13.2,8.14,8.08,406
01/11/2021,A2HYR100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.25,13.9,8.16,8.08,486
01/11/2021,A2HYY100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.19,13.5,8.12,8.1,426
01/11/2021,A2HZR100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.84,13.2,8.16,8.08,1268
01/11/2021,A2J07100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.9,13.8,8.13,8.14,420
01/11/2021,A2J0L100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.31,13.7,8.14,8.11,975
01/11/2021,A2J0Z100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.75,13.1,8.15,8.11,1005
01/11/2021,A2J12100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.2,13.6,8.16,8.08,477
01/11/2021,A2J17100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.82,13.7,8.16,8.08,434
01/11/2021,A2J2M100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.94,14.5,8.16,8.1,443
01/11/2021,A2J2R100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.83,13.7,8.16,8.15,646
01/11/2021,A2J3N100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.32,13,8.13,8.14,1014
01/11/2021,A2H0M100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.45,13.4,8.09,8.15,368
01/11/2021,A2H0Y100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.36,14.1,8.14,8.13,399
01/11/2021,A2H48100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.78,13.4,8.12,8.09,361
01/11/2021,A2H4C100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.65,13.7,8.12,8.11,382
01/11/2021,A2H4G100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.98,13.6,8.12,8.09,442
01/11/2021,A2H5R100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.41,14.2,8.12,8.12,435
01/11/2021,A2H65100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.33,13.8,8.13,8.08,318
01/11/2021,A2H67100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.08,14.2,8.14,8.09,475
01/11/2021,A2H6A100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.57,14.1,8.17,8.11,341
01/11/2021,A2H6X100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.9,15.8,8.16,8.15,334
01/11/2021,A2H80100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.74,13.6,8.15,8.13,443
01/11/2021,A2H83100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.24,13.3,8.12,8.1,492
01/11/2021,A2H84100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.88,13.1,8.15,8.09,397
01/11/2021,A2H8E100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.04,13.4,8.14,8.15,416
01/11/2021,A2H8M100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.46,14.4,8.15,8.11,494
01/11/2021,A2H8N100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.57,13.3,8.12,8.08,638
01/11/2021,A2H8Y100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.12,13.1,8.17,8.15,511
01/11/2021,A2HAL100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.87,12.8,8.15,8.1,469
01/11/2021,A2HAM100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.95,13.4,8.16,8.08,309
01/11/2021,A2HB8100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.65,13.3,8.12,8.09,512
01/11/2021,A2HBT100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.92,13.8,8.16,8.11,521
01/11/2021,A2HC3100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.87,13.6,8.13,8.11,482
01/11/2021,A2HCX100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.63,14,8.13,8.14,449
01/11/2021,A2HCX100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.12,14,8.13,8.14,449
01/11/2021,A2HF7100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.61,14.1,8.14,8.08,412
01/11/2021,A2HFE100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.64,13.7,8.11,8.08,356
01/11/2021,A2HHJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.88,13.5,8.13,8.08,484
01/11/2021,A2HJ0100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.73,13.7,8.16,8.15,539
01/11/2021,A2HN4100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.91,13.7,8.12,8.1,445
01/11/2021,A2HNV100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.37,13.5,8.16,8.11,544
01/11/2021,A2HNW100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.02,14.3,8.15,8.08,454
01/11/2021,A2HNZ100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.1,14,8.15,8.11,596
01/11/2021,A2HP7100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.61,15.1,8.11,8.11,532
01/11/2021,A2HPW100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.53,14,8.15,8.15,635
01/11/2021,A2HZG100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.64,13.9,8.15,8.09,611
01/11/2021,A2HZJ100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.64,13.9,8.11,8.09,621
01/11/2021,A2J05100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.47,13.5,8.14,8.09,342
01/11/2021,A2J09100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.58,13.9,8.16,8.08,390
01/11/2021,A2J0N100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.71,13,8.15,8.11,442
01/11/2021,A2J1E100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.15,13.2,8.16,8.08,397
01/11/2021,A2J1T100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.06,13.4,8.16,8.08,488
01/11/2021,A2J3A100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.35,13.4,8.16,8.11,635
01/11/2021,A2J47100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.92,13.4,8.13,8.1,466
01/11/2021,A2J6H100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.51,13.4,8.11,8.13,371
01/11/2021,A2H5X100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.69,13.5,8.11,8.11,386
01/11/2021,A2H63100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.27,13.3,8.12,8.14,522
01/11/2021,A2H6D100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.16,13.5,8.16,8.14,420
01/11/2021,A2H6H100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.28,14.1,8.11,8.09,335
01/11/2021,A2H6J100860536PCA3182K8A0PMPPP00AP0PP000000       ,3.94,13.4,8.16,8.1,391
01/11/2021,A2H6J100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.37,13.4,8.16,8.1,391
01/11/2021,A2H70100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.44,13.7,8.12,8.11,473
01/11/2021,A2H74100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.8,15.7,8.14,8.09,491
01/11/2021,A2H76100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.58,14.1,8.16,8.1,426
01/11/2021,A2H78100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.48,14.6,8.11,8.09,762
01/11/2021,A2H7V100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.63,14,8.13,8.08,307
01/11/2021,A2H8H100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.56,13.8,8.13,8.1,376
01/11/2021,A2H90100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.64,13.7,8.11,8.11,329
01/11/2021,A2H9N100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.51,13.7,8.12,8.11,322
01/11/2021,A2H9Z100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.14,14.4,8.11,8.11,621
01/11/2021,A2HA6100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.37,13.2,8.14,8.08,363
01/11/2021,A2HBL100860536PCA3182K8A0PMPPP00AP0PP000000       ,6.5,13.9,8.14,8.11,380
01/11/2021,A2HCC100860536PCA3182K8A0PMPPP00AP0PP000000       ,4.93,13.3,8.12,8.12,430
01/11/2021,A2HCG100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.06,14,8.13,8.09,721
01/11/2021,A2HDB100860536PCA3182K8A0PMPPP00AP0PP000000       ,5.93,14.3,8.14,8.11,475
